state,total_votes,democratic_votes,democratic_votes_percent,republican_votes,republican_votes_percent,other_votes,other_votes_percent,popular_vote_party
Alabama,2265090,772412,0.341,1462616,0.6457,30062,0.0133,Republican
Alaska,338177,140026,0.4141,184458,0.5454,13693,0.0405,Republican
Arizona,3390161,1582860,0.4669,1770242,0.5222,37059,0.0109,Republican
Arkansas,1182676,396905,0.3356,759241,0.642,26530,0.0224,Republican
California,15865475,9276179,0.5847,6081697,0.3833,507599,0.032,Democratic
Colorado,3192745,1728159,0.5413,1377441,0.4314,87145,0.0273,Democratic
Connecticut,1759010,992053,0.564,736918,0.4189,30039,0.0171,Democratic
Delaware,511697,289758,0.5663,214351,0.4189,7588,0.0148,Democratic
District of Columbia,325869,294185,0.9028,21076,0.0647,10608,0.0326,Democratic
Florida,10893752,4683038,0.4299,6110125,0.5609,100589,0.0092,Republican
Georgia,5250047,2548017,0.4853,2663117,0.5073,38913,0.0074,Republican
Hawaii,516701,313044,0.6059,193661,0.3748,9996,0.0193,Democratic
Idaho,904812,274972,0.3039,605246,0.6689,24594,0.0272,Republican
Illinois,5633310,3062863,0.5437,2449079,0.4347,121368,0.0215,Democratic
Indiana,2936677,1163603,0.3962,1720347,0.5858,52727,0.018,Republican
Iowa,1663506,707278,0.4252,927019,0.5573,29209,0.0176,Republican
Kansas,1327591,544853,0.4104,758802,0.5716,23936,0.018,Republican
Kentucky,2074530,704043,0.3394,1337494,0.6447,32993,0.0159,Republican
Louisiana,2006975,766870,0.3821,1208505,0.6022,31600,0.0157,Republican
Maine,830794,435652,0.5244,377977,0.455,17165,0.0207,Democratic
Maryland,3038334,1902577,0.6262,1035550,0.3408,100207,0.033,Democratic
Massachusetts,3473668,2126518,0.6122,1251303,0.3602,95847,0.0276,Democratic
Michigan,5664186,2736533,0.4831,2816636,0.4973,111017,0.0196,Republican
Minnesota,3253920,1656979,0.5092,1519032,0.4668,77909,0.0239,Democratic
Mississippi,1228008,466668,0.38,747744,0.6089,13596,0.0111,Republican
Missouri,2995327,1200599,0.4008,1751986,0.5849,42742,0.0143,Republican
Montana,602963,231906,0.3846,352079,0.5839,18978,0.0315,Republican
Nebraska,947159,369995,0.3906,564816,0.5963,12348,0.013,Republican
Nevada,1484840,705197,0.4749,751205,0.5059,28438,0.0192,Republican
New Hampshire,826189,418488,0.5065,395523,0.4787,12178,0.0147,Democratic
New Jersey,4272725,2220713,0.5197,1968215,0.4606,83797,0.0196,Democratic
New Mexico,923403,478802,0.5185,423391,0.4585,21210,0.023,Democratic
New York,8262495,4619195,0.5591,3578899,0.4331,64401,0.0078,Democratic
North Carolina,5699141,2715375,0.4765,2898423,0.5086,85343,0.015,Republican
North Dakota,368155,112327,0.3051,246505,0.6696,9323,0.0253,Republican
Ohio,5767788,2533699,0.4393,3180116,0.5514,53973,0.0094,Republican
Oklahoma,1566173,499599,0.319,1036213,0.6616,30361,0.0194,Republican
Oregon,2244493,1240600,0.5527,919480,0.4097,84413,0.0376,Democratic
Pennsylvania,7034206,3423042,0.4866,3543308,0.5037,67856,0.0096,Republican
Rhode Island,513386,285156,0.5554,214406,0.4176,13824,0.0269,Democratic
South Carolina,2548140,1028452,0.4036,1483747,0.5823,35941,0.0141,Republican
South Dakota,428922,146859,0.3424,272081,0.6343,9982,0.0233,Republican
Tennessee,3063942,1056265,0.3447,1966865,0.6419,40812,0.0133,Republican
Texas,11388674,4835250,0.4246,6393597,0.5614,159827,0.014,Republican
Utah,1488494,562566,0.3779,883818,0.5938,42110,0.0283,Republican
Vermont,369422,235791,0.6383,119395,0.3232,14236,0.0385,Democratic
Virginia,4505941,2335395,0.5183,2075085,0.4605,95461,0.0212,Democratic
Washington,3924243,2245849,0.5723,1530923,0.3901,147471,0.0376,Democratic
West Virginia,762390,214309,0.2811,533556,0.6998,14525,0.0191,Republican
Wisconsin,3415787,1668229,0.4884,1697626,0.497,49932,0.0146,Republican
Wyoming,269048,69527,0.2584,192633,0.716,6888,0.0256,Republican
